#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	REF_ALLELE	UPLOADED_ALLELE	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	MANE	MANE_SELECT	MANE_PLUS_CLINICAL	TSL	APPRIS	SIFT	PolyPhen	AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	TRANSCRIPTION_FACTORS
chr1_19288433_rs117022236	1:19288432-19288434	rs117022236	intron_variant	MODIFIER	AKR7A3	ENSG00000162482	Transcript	ENST00000361640.5	protein_coding	-	1/6	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:390	MANE_Select	NM_012067.3	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr12_7824329_rs78356676	12:7824328-7824330	rs78356676	intron_variant	MODIFIER	SLC2A14	ENSG00000173262	Transcript	ENST00000542546.5	protein_coding	-	4/7	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:18301	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_7824329_rs78356676	12:7824328-7824330	rs78356676	intron_variant	MODIFIER	SLC2A14	ENSG00000173262	Transcript	ENST00000543909.5	protein_coding	-	12/15	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:18301	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_7824329_rs78356676	12:7824328-7824330	rs78356676	intron_variant	MODIFIER	SLC2A14	ENSG00000173262	Transcript	ENST00000616981.4	protein_coding	-	6/9	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:18301	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000229335.11	protein_coding	-	2/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	MANE_Select	NM_020661.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000537228.6	protein_coding	-	2/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000543081.6	protein_coding	-	2/3	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000544516.6	protein_coding	-	2/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant,non_coding_transcript_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000545576.2	retained_intron	-	2/3	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000696246.1	protein_coding	-	2/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant,non_coding_transcript_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000696271.1	retained_intron	-	2/3	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000696272.1	protein_coding	-	2/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_8605946_rs3794318	12:8605945-8605947	rs3794318	intron_variant	MODIFIER	AICDA	ENSG00000111732	Transcript	ENST00000696273.1	protein_coding	-	3/5	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_13770393_rs11055612	12:13770392-13770394	rs11055612	intron_variant	MODIFIER	GRIN2B	ENSG00000273079	Transcript	ENST00000609686.4	protein_coding	-	3/13	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:4586	MANE_Select	NM_000834.5	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr12_13770393_rs11055612	12:13770392-13770394	rs11055612	intron_variant	MODIFIER	GRIN2B	ENSG00000273079	Transcript	ENST00000630791.3	protein_coding	-	4/14	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:4586	-	-	-	5	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr12_13770393_rs11055612	12:13770392-13770394	rs11055612	intron_variant,NMD_transcript_variant	MODIFIER	GRIN2B	ENSG00000273079	Transcript	ENST00000714048.1	nonsense_mediated_decay	-	3/12	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:4586	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	intron_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000335509.11	protein_coding	-	15/27	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18182	MANE_Select	NM_017901.6	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	intron_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000392569.8	protein_coding	-	14/26	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18182	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	intron_variant,non_coding_transcript_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000428632.7	retained_intron	-	14/18	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18182	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	intron_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000541517.5	protein_coding	-	15/27	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18182	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	downstream_gene_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000546503.1	retained_intron	-	-	-	-	-	-	-	-	-	-	-	-	1668	1	-	HGNC	HGNC:18182	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	intron_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000546781.5	protein_coding	-	5/7	-	-	-	-	-	-	-	-	-	-	-	1	cds_start_NF,cds_end_NF	HGNC	HGNC:18182	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	upstream_gene_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000547955.5	nonsense_mediated_decay	-	-	-	-	-	-	-	-	-	-	-	-	2733	1	cds_start_NF	HGNC	HGNC:18182	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	upstream_gene_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000550543.1	retained_intron	-	-	-	-	-	-	-	-	-	-	-	-	2642	1	-	HGNC	HGNC:18182	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	intron_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000550785.5	protein_coding	-	16/28	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18182	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	intron_variant,non_coding_transcript_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000551127.5	retained_intron	-	5/15	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18182	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr12_113281982_rs6489896	12:113281981-113281983	rs6489896	intron_variant,non_coding_transcript_variant	MODIFIER	TPCN1	ENSG00000186815	Transcript	ENST00000552077.5	retained_intron	-	15/26	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18182	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant,NMD_transcript_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000281620.11	nonsense_mediated_decay	-	34/37	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000381655.7	protein_coding	-	33/36	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	MANE_Select	NM_016529.6	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000682472.1	protein_coding	-	32/35	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant,non_coding_transcript_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000682942.1	protein_coding_CDS_not_defined	-	32/35	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant,NMD_transcript_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000683303.1	nonsense_mediated_decay	-	32/32	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant,non_coding_transcript_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000683845.1	retained_intron	-	32/32	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant,non_coding_transcript_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000683945.1	protein_coding_CDS_not_defined	-	32/35	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant,NMD_transcript_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000683960.1	nonsense_mediated_decay	-	34/37	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant,NMD_transcript_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000684283.1	nonsense_mediated_decay	-	31/31	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_25959810_rs80187936	13:25959809-25959811	rs80187936	intron_variant	MODIFIER	ATP8A2	ENSG00000132932	Transcript	ENST00000684424.1	protein_coding	-	32/35	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13533	-	-	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr13_66405988_rs9599110	13:66405987-66405989	rs9599110	intron_variant	MODIFIER	PCDH9	ENSG00000184226	Transcript	ENST00000377865.7	protein_coding	-	4/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:8661	MANE_Select	NM_203487.3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_66405988_rs9599110	13:66405987-66405989	rs9599110	intron_variant	MODIFIER	PCDH9	ENSG00000184226	Transcript	ENST00000456367.5	protein_coding	-	4/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:8661	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_66405988_rs9599110	13:66405987-66405989	rs9599110	intron_variant	MODIFIER	PCDH9	ENSG00000184226	Transcript	ENST00000544246.5	protein_coding	-	3/3	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:8661	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr13_66405988_rs9599110	13:66405987-66405989	rs9599110	intron_variant,NMD_transcript_variant	MODIFIER	PCDH9	ENSG00000184226	Transcript	ENST00000614931.1	nonsense_mediated_decay	-	3/3	-	-	-	-	-	-	-	-	-	-	-	-1	cds_start_NF	HGNC	HGNC:8661	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_66405988_rs9599110	13:66405987-66405989	rs9599110	regulatory_region_variant	MODIFIER	-	-	RegulatoryFeature	ENSR13_BH6SD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr13_94628578_rs187295598	13:94628577-94628579	rs187295598	3_prime_UTR_variant	MODIFIER	GPR180	ENSG00000152749	Transcript	ENST00000376958.5	protein_coding	9/9	-	-	-	2801-2802	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:28899	MANE_Select	NM_180989.6	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr13_109155937_rs912322	13:109155936-109155938	rs912322	intron_variant	MODIFIER	MYO16	ENSG00000041515	Transcript	ENST00000356711.7	protein_coding	-	32/34	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:29822	-	-	-	1	P4	-	-	-	-	-	-	-	-	-	-	-	-
chr13_109155937_rs912322	13:109155936-109155938	rs912322	intron_variant	MODIFIER	MYO16	ENSG00000041515	Transcript	ENST00000457511.7	protein_coding	-	32/34	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:29822	MANE_Select	NM_001198950.3	-	1	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr14_62701828_rs4902175	14:62701827-62701829	rs4902175	3_prime_UTR_variant	MODIFIER	KCNH5	ENSG00000140015	Transcript	ENST00000322893.12	protein_coding	11/11	-	-	-	8918-8919	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:6254	MANE_Select	NM_139318.5	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000267525.10	protein_coding	-	4/5	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000341099.6	protein_coding	-	5/8	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	MANE_Select	NM_001437.3	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant,NMD_transcript_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000344288.10	nonsense_mediated_decay	-	4/6	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000353772.7	protein_coding	-	5/8	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000358599.9	protein_coding	-	5/8	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000553796.5	protein_coding	-	4/7	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant,non_coding_transcript_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000554520.1	protein_coding_CDS_not_defined	-	4/5	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000554572.5	protein_coding	-	10/13	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000555278.5	protein_coding	-	4/7	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant,non_coding_transcript_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000555483.5	protein_coding_CDS_not_defined	-	3/6	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant,non_coding_transcript_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000555783.1	protein_coding_CDS_not_defined	-	1/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000556275.5	protein_coding	-	5/8	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64259784_rs7146434	14:64259783-64259785	rs7146434	intron_variant	MODIFIER	ESR2	ENSG00000140009	Transcript	ENST00000557772.5	protein_coding	-	4/6	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:3468	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64495576_rs28730549	14:64495575-64495577	rs28730549	intron_variant	MODIFIER	ZBTB25	ENSG00000089775	Transcript	ENST00000394715.1	protein_coding	-	4/5	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13112	-	-	-	2	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64495576_rs28730549	14:64495575-64495577	rs28730549	intron_variant	MODIFIER	ZBTB25	ENSG00000089775	Transcript	ENST00000555220.5	protein_coding	-	1/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13112	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_64495576_rs28730549	14:64495575-64495577	rs28730549	intron_variant	MODIFIER	ZBTB25	ENSG00000089775	Transcript	ENST00000608382.6	protein_coding	-	1/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:13112	MANE_Select	NM_006977.5	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant,NMD_transcript_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000342677.10	nonsense_mediated_decay	-	2/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:4019	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000358307.6	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:4019	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000360689.9	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:4019	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000394586.6	protein_coding	-	1/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:4019	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000553924.5	protein_coding	-	2/3	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:4019	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000554610.1	protein_coding	-	1/1	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:4019	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000554667.1	protein_coding	-	1/1	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:4019	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000555559.5	protein_coding	-	3/3	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:4019	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000556518.5	protein_coding	-	3/3	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:4019	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000557164.5	protein_coding	-	2/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:4019	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000557338.5	protein_coding	-	3/3	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:4019	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000673929.1	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:4019	MANE_Select	NM_001371533.1	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr14_65495565_rs138656381	14:65495564-65495566	rs138656381	intron_variant	MODIFIER	FUT8	ENSG00000033170	Transcript	ENST00000674118.1	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:4019	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_78308962_rs7155434	14:78308961-78308963	rs7155434	intron_variant	MODIFIER	NRXN3	ENSG00000021645	Transcript	ENST00000335750.7	protein_coding	-	4/20	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:8010	MANE_Select	NM_001330195.2	-	5	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr14_78308962_rs7155434	14:78308961-78308963	rs7155434	intron_variant	MODIFIER	NRXN3	ENSG00000021645	Transcript	ENST00000553363.6	protein_coding	-	2/4	-	-	-	-	-	-	-	-	-	-	-	1	cds_start_NF,cds_end_NF	HGNC	HGNC:8010	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_78308962_rs7155434	14:78308961-78308963	rs7155434	intron_variant	MODIFIER	NRXN3	ENSG00000021645	Transcript	ENST00000554738.5	protein_coding	-	3/19	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:8010	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_78308962_rs7155434	14:78308961-78308963	rs7155434	intron_variant,non_coding_transcript_variant	MODIFIER	NRXN3	ENSG00000021645	Transcript	ENST00000556088.1	retained_intron	-	3/3	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:8010	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr14_78308962_rs7155434	14:78308961-78308963	rs7155434	intron_variant	MODIFIER	NRXN3	ENSG00000021645	Transcript	ENST00000634499.2	protein_coding	-	5/21	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:8010	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr15_52611848_rs4776063	15:52611847-52611849	rs4776063	intron_variant	MODIFIER	ATOSA	ENSG00000047346	Transcript	ENST00000261844.11	protein_coding	-	3/12	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:25609	-	-	-	1	P2	-	-	-	-	-	-	-	-	-	-	-	-
chr15_52611848_rs4776063	15:52611847-52611849	rs4776063	intron_variant	MODIFIER	ATOSA	ENSG00000047346	Transcript	ENST00000399202.8	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:25609	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
